src,dst,src_ac,dst_ac,compartment,edge_type,edge_label,edge_id
1524,1210,O15357,Q9NQA5,plasma_membrane,co_localized,-1,1210|1524|plasma_membrane
1524,482,O15357,Q9NQC7,plasma_membrane,co_localized,-1,482|1524|plasma_membrane
1524,500,O15357,Q9NR61,plasma_membrane,co_localized,-1,500|1524|plasma_membrane
1524,1583,O15357,Q9NRA0,plasma_membrane,co_localized,-1,1524|1583|plasma_membrane
1524,336,O15357,Q9NRM6,plasma_membrane,co_localized,-1,336|1524|plasma_membrane
1524,1240,O15357,Q9NRY4,plasma_membrane,co_localized,-1,1240|1524|plasma_membrane
1524,1714,O15357,Q9NSB8,plasma_membrane,co_localized,-1,1524|1714|plasma_membrane
1524,1584,O15357,Q9NY46,plasma_membrane,co_localized,-1,1524|1584|plasma_membrane
1524,2074,O15357,Q9NY99,plasma_membrane,co_localized,-1,1524|2074|plasma_membrane
1524,614,O15357,Q9NZQ7,plasma_membrane,co_localized,-1,614|1524|plasma_membrane
1524,356,O15357,Q9P0N8,plasma_membrane,co_localized,-1,356|1524|plasma_membrane
1524,574,O15357,Q9P212,plasma_membrane,co_localized,-1,574|1524|plasma_membrane
1524,1481,O15357,Q9UBF9,plasma_membrane,co_localized,-1,1481|1524|plasma_membrane
1524,1549,O15357,Q9UBN4,plasma_membrane,co_localized,-1,1524|1549|plasma_membrane
1524,1993,O15357,Q9UBS5,plasma_membrane,co_localized,-1,1524|1993|plasma_membrane
1524,1326,O15357,Q9UHN6,plasma_membrane,co_localized,-1,1326|1524|plasma_membrane
1524,935,O15357,Q9UJM3,plasma_membrane,co_localized,-1,935|1524|plasma_membrane
1524,1365,O15357,Q9UKL4,plasma_membrane,co_localized,-1,1365|1524|plasma_membrane
1524,1921,O15357,Q9ULT6,plasma_membrane,co_localized,-1,1524|1921|plasma_membrane
1524,516,O15357,Q9UM47,plasma_membrane,co_localized,-1,516|1524|plasma_membrane
1524,836,O15357,Q9UM73,plasma_membrane,co_localized,-1,836|1524|plasma_membrane
1524,1725,O15357,Q9UMX0,plasma_membrane,co_localized,-1,1524|1725|plasma_membrane
1524,1208,O15357,Q9UNK0,plasma_membrane,co_localized,-1,1208|1524|plasma_membrane
1524,1828,O15357,Q9UPN3,plasma_membrane,co_localized,-1,1524|1828|plasma_membrane
1524,1639,O15357,Q9UPW8,plasma_membrane,co_localized,-1,1524|1639|plasma_membrane
1524,2071,O15357,Q9UPY5,plasma_membrane,co_localized,-1,1524|2071|plasma_membrane
1524,1586,O15357,Q9UQD0,plasma_membrane,co_localized,-1,1524|1586|plasma_membrane
1524,1475,O15357,Q9Y239,plasma_membrane,co_localized,-1,1475|1524|plasma_membrane
1524,1727,O15357,Q9Y490,plasma_membrane,co_localized,-1,1524|1727|plasma_membrane
1524,938,O15357,Q9Y4G8,plasma_membrane,co_localized,-1,938|1524|plasma_membrane
1524,493,O15357,Q9Y5E6,plasma_membrane,co_localized,-1,493|1524|plasma_membrane
1524,939,O15357,Q9Y5U5,plasma_membrane,co_localized,-1,939|1524|plasma_membrane
1524,1389,O15357,Q9Y5V3,plasma_membrane,co_localized,-1,1389|1524|plasma_membrane
1524,1551,O15357,Q9Y5X1,plasma_membrane,co_localized,-1,1524|1551|plasma_membrane
1524,1587,O15357,Q9Y5Y9,plasma_membrane,co_localized,-1,1524|1587|plasma_membrane
1524,848,O15357,Q9Y6D0,plasma_membrane,co_localized,-1,848|1524|plasma_membrane
1524,1730,O15357,Q9Y6I3,plasma_membrane,co_localized,-1,1524|1730|plasma_membrane
1524,2032,O15357,Q9Y6N7,plasma_membrane,co_localized,-1,1524|2032|plasma_membrane
1524,1214,O15357,Q9Y6W8,plasma_membrane,co_localized,-1,1214|1524|plasma_membrane
883,884,O15399,O15431,plasma_membrane,co_localized,-1,883|884|plasma_membrane
883,1999,O15399,O15530,plasma_membrane,co_localized,-1,883|1999|plasma_membrane
883,1964,O15399,O15554,plasma_membrane,co_localized,-1,883|1964|plasma_membrane
883,17,O15399,O43164,plasma_membrane,co_localized,-1,17|883|plasma_membrane
