uniprot_ac,gene,enzyme_class,node_id,is_e3,is_dub,is_substrate
Q9UKC9,FBXL2,E3,383,1,0,0
Q9UKT5,FBXO4,E3,384,1,0,0
Q9UKT6,FBXL21P,E3,385,1,0,0
Q9UKT7,FBXL3,E3,386,1,0,0
Q9UKT8,FBXW2,E3,387,1,0,0
Q9UKV5,AMFR,E3,388,1,0,1
Q9ULT8,HECTD1,E3,389,1,0,1
Q9ULV8,CBLC,E3,390,1,0,0
Q9UM11,FZR1,E3,391,1,0,1
Q9UMS4,PRPF19,E3,392,1,0,1
Q9UNE7,STUB1,E3,393,1,0,1
Q9UNL4,ING4,E3,394,1,0,0
Q9UPN9,TRIM33,E3,395,1,0,0
Q9UPQ4,TRIM35,E3,396,1,0,0
Q9UPQ7,PDZRN3,E3,397,1,0,0
Q9Y252,RNF6,E3,398,1,0,0
Q9Y297,BTRC,E3,399,1,0,1
Q9Y2E6,DTX4,E3,400,1,0,0
Q9Y2K7,KDM2A,E3,401,1,0,0
Q9Y2M5,KLHL20,E3,402,1,0,0
Q9Y314,NOSIP,E3,403,1,0,0
Q9Y3C5,RNF11,E3,404,1,0,1
