pair_id,group_id,enzyme_class,enz_ac,sub_ac,enz_gene,sub_gene,src,dst,edge_type,edge_label
E3|O60260|P49792,E3|O60260,E3,O60260,P49792,PARK2,RANBP2,23,633,enzyme_substrate,1
E3|O60260|P51955,E3|O60260,E3,O60260,P51955,PRKN,NEK2,23,634,enzyme_substrate,1
E3|O60260|P53667,E3|O60260,E3,O60260,P53667,PARK2,LIMK1,23,635,enzyme_substrate,1
E3|O60260|P54252,E3|O60260,E3,O60260,P54252,PRKN,ATXN3,23,429,enzyme_substrate,1
E3|O60260|P54829,E3|O60260,E3,O60260,P54829,PRKN,PTPN5,23,532,enzyme_substrate,1
E3|O60260|P55036,E3|O60260,E3,O60260,P55036,PARK2,PSMD4,23,559,enzyme_substrate,1
E3|O60260|P68363,E3|O60260,E3,O60260,P68363,PRKN,TUBA1B,23,636,enzyme_substrate,1
E3|O60260|Q07812,E3|O60260,E3,O60260,Q07812,PRKN,BAX,23,637,enzyme_substrate,1
E3|O60260|Q07817,E3|O60260,E3,O60260,Q07817,PRKN,BCL2L1,23,638,enzyme_substrate,1
E3|O60260|Q13148,E3|O60260,E3,O60260,Q13148,PRKN,TARDBP,23,639,enzyme_substrate,1
E3|O60260|Q13155,E3|O60260,E3,O60260,Q13155,PARK2,AIMP2,23,640,enzyme_substrate,1
E3|O60260|Q13501,E3|O60260,E3,O60260,Q13501,PRKN,SQSTM1,23,114,enzyme_substrate,1
E3|O60260|Q14190,E3|O60260,E3,O60260,Q14190,PARK2,SIM2,23,641,enzyme_substrate,1
E3|O60260|Q15303,E3|O60260,E3,O60260,Q15303,PRKN,ERBB4,23,642,enzyme_substrate,1
E3|O60260|Q15388,E3|O60260,E3,O60260,Q15388,PRKN,TOMM20,23,643,enzyme_substrate,1
E3|O60260|Q16342,E3|O60260,E3,O60260,Q16342,PRKN,PDCD2,23,644,enzyme_substrate,1
E3|O60260|Q16665,E3|O60260,E3,O60260,Q16665,PRKN,HIF1A,23,563,enzyme_substrate,1
E3|O60260|Q6NUN9,E3|O60260,E3,O60260,Q6NUN9,PARK2,ZNF746,23,645,enzyme_substrate,1
E3|O60260|Q70CQ3,E3|O60260,E3,O60260,Q70CQ3,PRKN,USP30,23,452,enzyme_substrate,1
E3|O60260|Q8IWA4,E3|O60260,E3,O60260,Q8IWA4,PARK2,MFN1,23,646,enzyme_substrate,1
E3|O60260|Q8IXI1,E3|O60260,E3,O60260,Q8IXI1,PRKN,RHOT2,23,647,enzyme_substrate,1
E3|O60260|Q8IXI2,E3|O60260,E3,O60260,Q8IXI2,PRKN,RHOT1,23,648,enzyme_substrate,1
E3|O60260|Q92844,E3|O60260,E3,O60260,Q92844,PRKN,TANK,23,246,enzyme_substrate,1
E3|O60260|Q96AE4,E3|O60260,E3,O60260,Q96AE4,PRKN,FUBP1,23,649,enzyme_substrate,1
E3|O60260|Q96P20,E3|O60260,E3,O60260,Q96P20,PRKN,NLRP3,23,650,enzyme_substrate,1
E3|O60260|Q96QK1,E3|O60260,E3,O60260,Q96QK1,PRKN,VPS35,23,651,enzyme_substrate,1
E3|O60260|Q99497,E3|O60260,E3,O60260,Q99497,PARK2,PARK7,23,652,enzyme_substrate,1
E3|O60260|Q99648,E3|O60260,E3,O60260,Q99648,PRKN,CDCrel-1,23,653,enzyme_substrate,1
E3|O60260|Q99714,E3|O60260,E3,O60260,Q99714,PARK2,PTPN5,23,654,enzyme_substrate,1
E3|O60260|Q99719,E3|O60260,E3,O60260,Q99719,PARK2,PRKN,23,655,enzyme_substrate,1
E3|O60260|Q99962,E3|O60260,E3,O60260,Q99962,PRKN,SH3GL2,23,656,enzyme_substrate,1
E3|O60260|Q99963,E3|O60260,E3,O60260,Q99963,PRKN,SH3GL3,23,657,enzyme_substrate,1
E3|O60260|Q9BT88,E3|O60260,E3,O60260,Q9BT88,PRKN,SYT11,23,658,enzyme_substrate,1
E3|O60260|Q9BXM7,E3|O60260,E3,O60260,Q9BXM7,PARK2,PINK1,23,297,enzyme_substrate,1
