family,model_name,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,accuracy_mean,precision_mean,recall_mean,brier_mean,rank
Pair-level ML,esm2_t36_3B_UR50D | per_sequence | logistic,0.7252338824358627,0.0229232169764295,0.8140194736576907,0.0385210905433975,0.7104638896402491,0.6670479575099586,0.7608613486555974,0.6668473237198945,0.2209987724250849,64
Pair-level ML,prot_bert | fusion | random_forest,0.7233402322219408,0.0330570806284757,0.8136899063088263,0.0403577788209656,0.7592560915347148,0.6567238147309225,0.6669921799488138,0.8832376497930732,0.2095190181033014,65
Pair-level ML,prot_bert | per_sequence | random_forest,0.7209371295598016,0.0317250233896032,0.8132956062722941,0.0379707633542609,0.7602154350995651,0.6578533677002787,0.6673716347868115,0.8850598347080695,0.2099754321367713,66
Pair-level ML,esm2_t33_650M_UR50D | fusion | logistic,0.7204885152306548,0.0268491579619727,0.8090368072732265,0.035560696634549,0.7103716554172463,0.6664011039079383,0.7576690746097873,0.66905763966329,0.2194724394346829,67
Pair-level ML,esm2_t33_650M_UR50D | per_sequence | logistic,0.7171184676560379,0.027361337401585,0.8042354792440373,0.0376225693412857,0.7030213988082473,0.6594611939909918,0.7530952491596827,0.6596758308994775,0.2209299376922298,68
Pair-level ML,prot_bert | fusion | logistic,0.7049039870280629,0.0185578015873958,0.7966441530711698,0.0298878949584113,0.6938158808124952,0.6539727667994482,0.7568964932365655,0.641484435415839,0.2222188147774801,69
Pair-level ML,esm2_t30_150M_UR50D | fusion | logistic,0.715286869952573,0.0274217184790641,0.7931607195799907,0.0437518448475541,0.6982142788659589,0.6528428232966232,0.7508197422665985,0.6545474608228209,0.2208402667755954,70
Graph learning,GAT,0.7130318766425172,0.0298899352362814,0.791507762880336,0.0265329678579471,0.7609928187857687,0.6187932515816605,0.6192241367040711,0.9888311688311688,0.2456765206660596,71
Pair-level ML,prot_bert | per_sequence | logistic,0.7054091863137668,0.0206543376392124,0.7913513045685673,0.0328128105887333,0.6965464689301155,0.6559085110260616,0.7571980010542261,0.6458717485760834,0.2216178043596603,72
Pair-level ML,prot_bert_bfd | fusion | logistic,0.6985330195693885,0.0236358876897664,0.7857355270708009,0.0400679397975906,0.689431187696428,0.6467132703272671,0.7459198465576371,0.6420320966849554,0.2223097500618652,73
Pair-level ML,esm2_t12_35M_UR50D | fusion | logistic,0.7045663702138832,0.0278624054853728,0.7849431152618694,0.0411968154066952,0.6899948187615891,0.6481652737639616,0.7498465995474781,0.6395169887521539,0.2269786330871683,74
Pair-level ML,esm2_t30_150M_UR50D | per_sequence | logistic,0.7097422363992791,0.0276449190340928,0.783830993940656,0.0455212441273724,0.6966812936921712,0.6502599651123435,0.7470568938614441,0.6549961173686909,0.2227773228812334,75
Pair-level ML,prot_bert_bfd | per_sequence | logistic,0.6943777039362115,0.0251342985336155,0.7813620810353926,0.0421864645056409,0.6826100314619067,0.6371927152490302,0.7338852531562925,0.638924900167049,0.2231815798695447,76
Pair-level ML,esm2_t12_35M_UR50D | per_sequence | logistic,0.7035438687476644,0.0264114315328006,0.7786956680055337,0.0412515302359737,0.6934613300763396,0.6510699315264652,0.7505179567547848,0.6449167310677033,0.2269242841998902,77
Pair-level ML,esm2_t6_8M_UR50D | fusion | logistic,0.6776337431552394,0.0215451483211981,0.7664009973963656,0.046132121899106,0.6758649491591299,0.6304060246296441,0.7322424803230854,0.6289359955226838,0.2363582658671268,78
Pair-level ML,esm2_t6_8M_UR50D | per_sequence | logistic,0.6750526744786308,0.0179840352842538,0.7591889174643645,0.0474171811507671,0.6710811734887648,0.6255636699731834,0.728959888216598,0.6234288558970502,0.2369302853983708,79
Pair-level ML,esm2_t6_8M_UR50D | per_residue | xgboost,0.6400844458501865,0.0155474609367715,0.7466542291520251,0.0310774382760589,0.7076416543131966,0.6212119555312556,0.6729984828077689,0.7479577542081284,0.2505690140319922,80
Pair-level ML,esm2_t6_8M_UR50D | per_residue | random_forest,0.63136384175626,0.0250175583995433,0.7397070271453694,0.0416574497181058,0.7274309202568023,0.6186309198364967,0.649715851205543,0.8296518654158402,0.2263086252563898,81
Pair-level ML,esm2_t12_35M_UR50D | per_residue | random_forest,0.624905910686171,0.0170744539677971,0.7391438501297992,0.0315647755697931,0.7179368085242265,0.604914082636882,0.6398317626129998,0.8205332399049456,0.2272166638841566,82
Pair-level ML,esm2_t12_35M_UR50D | per_residue | xgboost,0.6250794608232166,0.0136689286906508,0.7376682306589247,0.0344336072545296,0.6970388874121325,0.6082996172772006,0.6632891999805588,0.7352951616015522,0.2579266276593296,83
Pair-level ML,esm2_t36_3B_UR50D | per_residue | xgboost,0.6255954115615141,0.0243113479811213,0.7343613797386641,0.0459658304999323,0.7028713154470451,0.6105601551719648,0.6609264398262531,0.7516399988848476,0.2537657640243504,84
Pair-level ML,esm2_t33_650M_UR50D | per_residue | xgboost,0.6229609656127859,0.0265055873782188,0.7301034931049962,0.0420168701544648,0.7034866318578307,0.6097550053372907,0.6592119082113103,0.7560076875890884,0.2558645663506226,85
Pair-level ML,esm2_t33_650M_UR50D | per_residue | random_forest,0.6242300518308991,0.0275334040901587,0.7299899172267456,0.0480674657115438,0.7311858163046967,0.620245385196178,0.6473996819203246,0.8421157119884836,0.2264810650997804,86
Pair-level ML,esm2_t30_150M_UR50D | per_residue | random_forest,0.6118586437652274,0.0223232388895165,0.7239210915015996,0.0356778693550686,0.7282588899558554,0.6173403369002056,0.6463585641221173,0.8361501199832346,0.2290892360094882,87
Pair-level ML,esm2_t36_3B_UR50D | per_residue | random_forest,0.610948481666853,0.0199198203143049,0.7229391957727008,0.044500663760805,0.72255316875436,0.6073334374755917,0.6392855127000965,0.8338233458171033,0.2289854691245337,88
Pair-level ML,esm2_t30_150M_UR50D | per_residue | xgboost,0.605853058850861,0.0246948720237815,0.7227642714213067,0.038722343949039,0.6879835306654238,0.5968433179723502,0.6548843884367589,0.7259625301384214,0.2664451176845662,89
Pair-level ML,esm2_t6_8M_UR50D | per_residue | logistic,0.6108878338695544,0.0213145796030866,0.7201720260387643,0.0361069676079424,0.6114735743170094,0.5719815668202766,0.6906481375796982,0.5517801284610091,0.2414255769827078,90
Pair-level ML,esm2_t12_35M_UR50D | per_residue | logistic,0.6064383014058329,0.0186438043603202,0.7199871486679738,0.0309029217830425,0.6056216749251131,0.5645567445130049,0.6817111230190911,0.5470964467411846,0.2413699529616232,91
Pair-level ML,prot_bert_bfd | per_residue | random_forest,0.610000935400613,0.0162229107190957,0.7178248817842212,0.0199488910889985,0.7364559275777582,0.6205678356635164,0.6426318432432773,0.8645848156051936,0.2295164104733818,92
Pair-level ML,prot_bert_bfd | per_residue | logistic,0.6058837515489301,0.0168808567810062,0.7155599774095737,0.0316814496298616,0.6014953626146726,0.5643962352573615,0.6869200944063745,0.538894163859952,0.2418360472188916,93
Pair-level ML,prot_bert_bfd | per_residue | xgboost,0.6044279545443971,0.0109243866943312,0.715538074677877,0.0201298454751897,0.7005002458517343,0.6037799734437241,0.6536819472986556,0.7555878555499312,0.2622975393223187,94
Pair-level ML,esm2_t30_150M_UR50D | per_residue | logistic,0.6016811331159625,0.0372514706912596,0.7111955363019354,0.0437665632066104,0.6182041540275554,0.5703730896404489,0.6814522323026335,0.5676039736070344,0.241913272131833,95
Pair-level ML,esm2_t33_650M_UR50D | per_residue | logistic,0.5939956960962636,0.0231248365435353,0.7033687254845298,0.0397296107279895,0.6118603141825266,0.565205290426723,0.6777450531577448,0.5600610756313975,0.2438382249283475,96
Pair-level ML,esm2_t36_3B_UR50D | per_residue | logistic,0.5893850330549297,0.0257877789797319,0.6984171868931025,0.0460374318831422,0.6092648065645806,0.564076648702127,0.6782862860947821,0.5567100006535008,0.2438334904681811,97
Pair-level ML,prot_bert | per_residue | logistic,0.5840812395109946,0.0156445495606355,0.6953405782856071,0.0360094953879884,0.5946159940992393,0.5519685490379859,0.6674575196606982,0.5370496196330778,0.2447102353637652,98
Pair-level ML,prot_bert | per_residue | random_forest,0.5551365511303141,0.0070068310185215,0.6777668752101235,0.0267310873244715,0.7168618271097985,0.5903885808013747,0.6226285870685009,0.8462047987748983,0.2383219521752895,99
Pair-level ML,prot_bert | per_residue | xgboost,0.547169392568428,0.0084692458307127,0.6708268205325376,0.0316998028620414,0.669116262807947,0.563753677523497,0.6263566672283775,0.7197859828075905,0.2809778253901536,100
