embedding_model,feature_type,algorithm,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,brier_mean,brier_std
esm2_t30_150M_UR50D,fusion,logistic,0.715286869952573,0.027421718479064116,0.7931607195799907,0.0437518448475541,0.6982142788659589,0.017181419739692647,0.6528428232966232,0.02133882890846454,0.7508197422665985,0.047152131654952814,0.6545474608228209,0.02480735697924994,0.22084026677559546,0.009229442939630671
prot_bert,per_sequence,logistic,0.7054091863137668,0.020654337639212404,0.7913513045685673,0.03281281058873334,0.6965464689301155,0.03097798916923744,0.6559085110260616,0.022181024731967165,0.7571980010542261,0.028399799155143835,0.6458717485760834,0.04254690817118871,0.22161780435966033,0.00986317176946909
prot_bert_bfd,fusion,logistic,0.6985330195693885,0.02363588768976645,0.7857355270708009,0.04006793979759067,0.689431187696428,0.03738562411334914,0.6467132703272671,0.02271588142534632,0.7459198465576371,0.04264012457947757,0.6420320966849554,0.0454922271773752,0.22230975006186524,0.006795753273556796
esm2_t12_35M_UR50D,fusion,logistic,0.7045663702138832,0.02786240548537286,0.7849431152618694,0.04119681540669521,0.6899948187615891,0.030907691466950948,0.6481652737639616,0.021435403382176834,0.7498465995474781,0.044141740962917196,0.6395169887521539,0.026944857517927037,0.2269786330871683,0.009938648309561768
esm2_t30_150M_UR50D,per_sequence,logistic,0.7097422363992791,0.027644919034092857,0.783830993940656,0.0455212441273724,0.6966812936921712,0.017534124550050895,0.6502599651123435,0.020575173609862094,0.7470568938614441,0.044647118643442896,0.6549961173686909,0.03161237243833025,0.22277732288123347,0.0100343937371478
prot_bert_bfd,per_sequence,logistic,0.6943777039362115,0.0251342985336155,0.7813620810353926,0.04218646450564092,0.6826100314619067,0.042910374057176556,0.6371927152490302,0.029357889917759093,0.7338852531562925,0.04802949109291783,0.638924900167049,0.04742846866910631,0.22318157986954476,0.007435755552962775
esm2_t12_35M_UR50D,per_sequence,logistic,0.7035438687476644,0.026411431532800615,0.7786956680055337,0.04125153023597376,0.6934613300763396,0.03204813903207805,0.6510699315264652,0.022013446336242505,0.7505179567547848,0.041571686742615487,0.6449167310677033,0.030492537762921237,0.22692428419989027,0.010297803765020666
esm2_t6_8M_UR50D,fusion,logistic,0.6776337431552394,0.021545148321198186,0.7664009973963656,0.04613212189910606,0.6758649491591299,0.020622337022537317,0.6304060246296441,0.01755220637031372,0.7322424803230854,0.029684167887631962,0.6289359955226838,0.03387660299929399,0.23635826586712683,0.010027062085284002
esm2_t6_8M_UR50D,per_sequence,logistic,0.6750526744786308,0.017984035284253887,0.7591889174643645,0.04741718115076719,0.6710811734887648,0.01816976190147458,0.6255636699731834,0.01637599118642675,0.728959888216598,0.029423158654447952,0.6234288558970502,0.03546531300567436,0.23693028539837085,0.008365419087268912
esm2_t6_8M_UR50D,per_residue,xgboost,0.6400844458501865,0.015547460936771559,0.7466542291520251,0.031077438276058914,0.7076416543131966,0.02043358702002273,0.6212119555312556,0.018026878258577465,0.6729984828077689,0.03820347246982975,0.7479577542081284,0.025114098679180297,0.2505690140319922,0.012386999801455975
